id,user_id,order_date,status
149,71,2018-01-01T13:10:45.000+0000,completed
150,54,2018-01-01T13:11:45.000+0000,return_pending
151,34,2018-01-01T13:12:45.000+0000,completed
152,54,2018-01-01T13:13:45.000+0000,completed
153,18,2018-01-01T13:14:45.000+0000,completed
154,79,2018-01-01T13:15:45.000+0000,completed
155,93,2018-01-01T13:16:45.000+0000,completed
156,22,2018-01-01T13:17:45.000+0000,completed
157,30,2018-01-01T13:18:45.000+0000,completed
158,12,2018-01-01T13:19:45.000+0000,completed
159,63,2018-01-01T13:20:45.000+0000,completed
160,57,2018-01-01T13:21:45.000+0000,completed
161,70,2018-01-01T13:22:45.000+0000,completed
162,13,2018-01-01T13:23:45.000+0000,completed
163,26,2018-01-01T13:24:45.000+0000,completed
164,36,2018-01-01T13:25:45.000+0000,completed
165,79,2018-01-01T13:26:45.000+0000,completed
166,53,2018-01-01T13:27:45.000+0000,completed
167,3,2018-01-01T13:28:45.000+0000,completed
168,8,2018-01-01T13:29:45.000+0000,completed
169,42,2018-01-01T13:30:45.000+0000,shipped
170,30,2018-01-01T13:31:45.000+0000,shipped
171,19,2018-01-01T13:32:45.000+0000,completed
172,9,2018-01-01T13:33:45.000+0000,shipped
173,69,2018-01-01T13:34:45.000+0000,completed
174,25,2018-01-01T13:35:45.000+0000,completed
175,35,2018-01-01T13:36:45.000+0000,shipped
176,90,2018-01-01T13:37:45.000+0000,shipped
177,52,2018-01-01T13:38:45.000+0000,shipped
178,11,2018-01-01T13:39:45.000+0000,shipped
179,76,2018-01-01T13:40:45.000+0000,shipped
180,46,2018-01-01T13:41:45.000+0000,shipped
181,54,2018-01-01T13:42:45.000+0000,shipped
182,70,2018-01-01T13:43:45.000+0000,placed
183,47,2018-01-01T13:44:45.000+0000,shipped
184,68,2018-01-01T13:45:45.000+0000,placed
185,46,2018-01-01T13:46:45.000+0000,placed
186,91,2018-01-01T13:47:45.000+0000,shipped
187,21,2018-01-01T13:48:45.000+0000,placed
188,66,2018-01-01T13:49:45.000+0000,shipped
189,47,2018-01-01T13:50:45.000+0000,placed
190,84,2018-01-01T13:51:45.000+0000,placed
191,66,2018-01-01T13:52:45.000+0000,placed
192,63,2018-01-01T13:53:45.000+0000,placed
193,27,2018-01-01T13:54:45.000+0000,placed
194,90,2018-01-01T13:55:45.000+0000,placed
195,89,2018-01-01T13:56:45.000+0000,placed
196,41,2018-01-01T13:57:45.000+0000,placed
197,85,2018-01-01T13:58:45.000+0000,placed
