id,order_id,payment_method,amount
114,100,credit_card,600
115,100,credit_card,900
116,101,credit_card,2600
117,102,credit_card,2900
118,103,credit_card,100
119,104,bank_transfer,1500
120,105,credit_card,300
121,106,credit_card,1800
122,107,bank_transfer,1100
123,108,credit_card,2900
124,109,credit_card,400
125,110,bank_transfer,200
126,111,coupon,1800
127,112,gift_card,600
128,113,gift_card,2800
129,113,credit_card,400
130,114,bank_transfer,1600
131,115,gift_card,1400
132,116,credit_card,2900
133,117,bank_transfer,2600
134,118,credit_card,0
135,119,credit_card,2800
136,120,bank_transfer,400
137,121,credit_card,1900
138,122,credit_card,1600
139,123,credit_card,1900
140,124,credit_card,2600
141,125,credit_card,500
142,126,credit_card,2900
143,127,bank_transfer,300
144,128,credit_card,3000
145,129,credit_card,1900
146,130,coupon,200
147,131,credit_card,0
148,132,bank_transfer,1900
149,133,bank_transfer,2600
150,134,credit_card,1800
151,135,credit_card,900
152,136,gift_card,300
153,137,coupon,200
154,138,credit_card,800
155,139,credit_card,100
156,140,bank_transfer,2500
157,141,bank_transfer,1700
158,142,coupon,2300
159,143,gift_card,3000
160,144,credit_card,2600
161,145,credit_card,2900
162,146,bank_transfer,2200
163,147,bank_transfer,200
164,148,credit_card,1900
