id,order_id,payment_method,amount
114,149,credit_card,600
115,150,credit_card,900
116,151,credit_card,2600
117,152,credit_card,2900
118,153,credit_card,100
119,154,bank_transfer,1500
120,155,credit_card,300
121,156,credit_card,1800
122,157,bank_transfer,1100
123,158,credit_card,2900
124,159,credit_card,400
125,160,bank_transfer,200
126,161,coupon,1800
127,162,gift_card,600
128,163,gift_card,2800
129,163,credit_card,400
130,164,bank_transfer,1600
131,164,gift_card,1400
132,165,credit_card,2900
133,166,bank_transfer,2600
134,167,credit_card,0
135,168,credit_card,2800
136,169,bank_transfer,400
137,170,credit_card,1900
138,171,credit_card,1600
139,172,credit_card,1900
140,173,credit_card,2600
141,174,credit_card,500
142,175,credit_card,2900
143,176,bank_transfer,300
144,177,credit_card,3000
145,178,credit_card,1900
146,179,coupon,200
147,180,credit_card,0
148,181,bank_transfer,1900
149,182,bank_transfer,2600
150,183,credit_card,1800
151,184,credit_card,900
152,185,gift_card,300
153,186,coupon,200
154,187,credit_card,800
155,188,credit_card,100
156,189,bank_transfer,2500
157,190,bank_transfer,1700
158,191,coupon,2300
159,192,gift_card,3000
160,193,credit_card,2600
161,194,credit_card,2900
162,195,bank_transfer,2200
163,196,bank_transfer,200
164,197,credit_card,1900
