id,user_id,order_date,status
1,1,2018-01-01T10:10:45.000+0000,returned
2,3,2018-01-01T10:11:45.000+0000,completed
3,94,2018-01-01T10:12:45.000+0000,completed
4,50,2018-01-01T10:13:45.000+0000,completed
5,64,2018-01-01T10:14:45.000+0000,completed
6,54,2018-01-01T10:15:45.000+0000,completed
7,88,2018-01-01T10:16:45.000+0000,completed
8,2,2018-01-01T10:17:45.000+0000,returned
9,53,2018-01-01T10:18:45.000+0000,completed
10,7,2018-01-01T10:19:45.000+0000,completed
11,99,2018-01-01T10:20:45.000+0000,completed
12,59,2018-01-01T10:21:45.000+0000,completed
13,84,2018-01-01T10:22:45.000+0000,completed
14,40,2018-01-01T10:23:45.000+0000,returned
15,25,2018-01-01T10:24:45.000+0000,completed
16,39,2018-01-01T10:25:45.000+0000,completed
17,71,2018-01-01T10:26:45.000+0000,completed
18,64,2018-01-01T10:27:45.000+0000,returned
19,54,2018-01-01T10:28:45.000+0000,completed
20,20,2018-01-01T10:29:45.000+0000,completed
21,71,2018-01-01T10:30:45.000+0000,completed
22,86,2018-01-01T10:31:45.000+0000,completed
23,22,2018-01-01T10:32:45.000+0000,return_pending
24,3,2018-01-01T10:33:45.000+0000,completed
25,51,2018-01-01T10:34:45.000+0000,completed
26,32,2018-01-01T10:35:45.000+0000,completed
27,94,2018-01-01T10:36:45.000+0000,completed
28,8,2018-01-01T10:37:45.000+0000,completed
29,57,2018-01-01T10:38:45.000+0000,completed
30,69,2018-01-01T10:39:45.000+0000,completed
31,16,2018-01-01T10:40:45.000+0000,completed
32,28,2018-01-01T10:41:45.000+0000,completed
33,42,2018-01-01T10:42:45.000+0000,completed
34,38,2018-01-01T10:43:45.000+0000,completed
35,80,2018-01-01T10:44:45.000+0000,completed
36,85,2018-01-01T10:45:45.000+0000,completed
37,1,2018-01-01T10:46:45.000+0000,completed
38,51,2018-01-01T10:47:45.000+0000,completed
39,26,2018-01-01T10:48:45.000+0000,completed
40,33,2018-01-01T10:49:45.000+0000,completed
41,99,2018-01-01T10:50:45.000+0000,completed
42,92,2018-01-01T10:51:45.000+0000,completed
43,31,2018-01-01T10:52:45.000+0000,completed
44,66,2018-01-01T10:53:45.000+0000,completed
45,22,2018-01-01T10:54:45.000+0000,completed
46,6,2018-01-01T10:55:45.000+0000,completed
47,50,2018-01-01T10:56:45.000+0000,completed
48,27,2018-01-01T10:57:45.000+0000,completed
49,35,2018-01-01T10:58:45.000+0000,completed
50,51,2018-01-01T10:59:45.000+0000,completed
