id,order_id,payment_method,amount
165,198,credit_card,600
166,199,credit_card,900
167,200,credit_card,2600
168,201,credit_card,2900
169,202,credit_card,100
170,203,bank_transfer,1500
171,204,credit_card,300
172,205,credit_card,1800
173,206,bank_transfer,1100
174,207,credit_card,2900
175,208,credit_card,400
176,209,bank_transfer,200
177,209,coupon,1800
178,210,gift_card,600
179,211,gift_card,2800
180,211,credit_card,400
181,212,bank_transfer,1600
182,212,gift_card,1400
183,213,credit_card,2900
184,214,bank_transfer,2600
185,215,credit_card,0
186,216,credit_card,2800
187,217,bank_transfer,400
188,218,credit_card,1900
189,219,credit_card,1600
190,220,credit_card,1900
191,221,credit_card,2600
192,222,credit_card,500
193,223,credit_card,2900
194,224,bank_transfer,300
195,225,credit_card,3000
196,226,credit_card,1900
197,227,coupon,200
198,228,credit_card,0
199,229,bank_transfer,1900
200,230,bank_transfer,2600
201,231,credit_card,1800
202,232,credit_card,900
203,233,gift_card,300
204,234,coupon,200
205,234,credit_card,800
206,235,credit_card,100
207,236,bank_transfer,2500
208,237,bank_transfer,1700
209,238,coupon,2300
210,239,gift_card,3000
211,240,credit_card,2600
212,241,credit_card,2900
213,242,bank_transfer,2200
214,243,bank_transfer,200
215,244,credit_card,1900
216,245,credit_card,300
217,246,credit_card,400
