id,user_id,order_date,status
198,71,2018-01-01T14:10:45.000+0000,completed
199,54,2018-01-01T14:11:45.000+0000,return_pending
200,34,2018-01-01T14:12:45.000+0000,completed
201,54,2018-01-01T14:13:45.000+0000,completed
202,18,2018-01-01T14:14:45.000+0000,completed
203,79,2018-01-01T14:15:45.000+0000,completed
204,93,2018-01-01T14:16:45.000+0000,completed
205,22,2018-01-01T14:17:45.000+0000,completed
206,30,2018-01-01T14:18:45.000+0000,completed
207,12,2018-01-01T14:19:45.000+0000,completed
208,63,2018-01-01T14:20:45.000+0000,completed
209,57,2018-01-01T14:21:45.000+0000,completed
210,70,2018-01-01T14:22:45.000+0000,completed
211,13,2018-01-01T14:23:45.000+0000,completed
212,26,2018-01-01T14:24:45.000+0000,completed
213,36,2018-01-01T14:25:45.000+0000,completed
214,79,2018-01-01T14:26:45.000+0000,completed
215,53,2018-01-01T14:27:45.000+0000,completed
216,3,2018-01-01T14:28:45.000+0000,completed
217,8,2018-01-01T14:29:45.000+0000,completed
218,42,2018-01-01T14:30:45.000+0000,shipped
219,30,2018-01-01T14:31:45.000+0000,shipped
220,19,2018-01-01T14:32:45.000+0000,completed
221,9,2018-01-01T14:33:45.000+0000,shipped
222,69,2018-01-01T14:34:45.000+0000,completed
223,25,2018-01-01T14:35:45.000+0000,completed
224,35,2018-01-01T14:36:45.000+0000,shipped
225,90,2018-01-01T14:37:45.000+0000,shipped
226,52,2018-01-01T14:38:45.000+0000,shipped
227,11,2018-01-01T14:39:45.000+0000,shipped
228,76,2018-01-01T14:40:45.000+0000,shipped
229,46,2018-01-01T14:41:45.000+0000,shipped
230,54,2018-01-01T14:42:45.000+0000,shipped
231,70,2018-01-01T14:43:45.000+0000,placed
232,47,2018-01-01T14:44:45.000+0000,shipped
233,68,2018-01-01T14:45:45.000+0000,placed
234,46,2018-01-01T14:46:45.000+0000,placed
235,91,2018-01-01T14:47:45.000+0000,shipped
236,21,2018-01-01T14:48:45.000+0000,placed
237,66,2018-01-01T14:49:45.000+0000,shipped
238,47,2018-01-01T14:50:45.000+0000,placed
239,84,2018-01-01T14:51:45.000+0000,placed
240,66,2018-01-01T14:52:45.000+0000,placed
241,63,2018-01-01T14:53:45.000+0000,placed
242,27,2018-01-01T14:54:45.000+0000,placed
243,90,2018-01-01T14:55:45.000+0000,placed
244,89,2018-01-01T14:56:45.000+0000,placed
245,41,2018-01-01T14:57:45.000+0000,placed
246,85,2018-01-01T14:58:45.000+0000,placed
